iter	Passed	Remaining
1161	54382	13618
1162	54420	13570
1163	54462	13522
1164	54506	13474
1165	54551	13427
1166	54597	13380
1167	54644	13333
1168	54688	13286
1169	54732	13238
1170	54777	13191
1171	54821	13144
1172	54868	13097
1173	54914	13050
1174	54961	13003
1175	55005	12956
1176	55050	12909
1177	55097	12862
1178	55143	12815
1179	55188	12768
1180	55237	12721
1181	55283	12675
1182	55332	12628
1183	55379	12581
1184	55425	12535
1185	55471	12488
1186	55520	12441
1187	55565	12394
1188	55610	12347
1189	55651	12299
1190	55696	12252
1191	55746	12206
1192	55795	12159
1193	55842	12113
1194	55891	12066
1195	55935	12019
1196	55982	11972
1197	56025	11925
1198	56073	11878
1199	56113	11830
1200	56161	11784
1201	56210	11737
1202	56252	11690
1203	56300	11643
1204	56356	11598
1205	56412	11553
1206	56465	11508
1207	56514	11461
1208	56561	11415
1209	56611	11369
1210	56656	11322
1211	56705	11275
1212	56752	11228
1213	56799	11182
1214	56843	11134
1215	56895	11088
1216	56941	11041
1217	56991	10995
1218	57038	10949
1219	57083	10901
1220	57127	10854
1221	57174	10808
1222	57219	10760
1223	57269	10714
1224	57317	10668
1225	57361	10620
1226	57406	10573
1227	57452	10526
1228	57498	10479
1229	57543	10432
1230	57593	10386
1231	57638	10339
1232	57684	10292
1233	57729	10245
1234	57779	10199
1235	57824	10152
1236	57868	10104
1237	57908	10056
1238	57958	10010
1239	58001	9963
1240	58045	9915
1241	58093	9869
1242	58142	9822
1243	58187	9775
1244	58234	9729
1245	58284	9682
1246	58328	9635
1247	58377	9589
1248	58429	9543
1249	58478	9496
1250	58523	9449
1251	58567	9402
1252	58612	9355
1253	58661	9309
1254	58704	9261
1255	58748	9214
1256	58796	9167
1257	58837	9120
1258	58882	9073
1259	58928	9026
1260	58975	8979
1261	59021	8932
1262	59064	8885
1263	59113	8839
1264	59158	8791
1265	59207	8745
1266	59254	8698
1267	59301	8651
1268	59345	8604
1269	59388	8557
1270	59433	8510
1271	59482	8464
1272	59530	8417
1273	59575	8370
1274	59622	8323
1275	59669	8276
1276	59718	8230
1277	59766	8183
1278	59811	8136
1279	59857	8090
1280	59910	8044
1281	59956	7997
1282	60002	7950
1283	60049	7903
1284	60093	7856
1285	60137	7809
1286	60182	7762
1287	60227	7715
1288	60271	7668
1289	60320	7621
1290	60368	7575
1291	60412	7528
1292	60459	7481
1293	60504	7434
1294	60541	7386
1295	60589	7339
1296	60634	7292
1297	60680	7246
1298	60725	7199
1299	60774	7152
1300	60819	7105
1301	60866	7059
1302	60914	7012
1303	60959	6965
1304	61005	6918
1305	61053	6871
1306	61098	6825
1307	61140	6777
1308	61190	6731
1309	61235	6684
1310	61286	6638
1311	61333	6591
1312	61379	6544
1313	61424	6497
1314	61466	6450
1315	61514	6403
1316	61563	6357
1317	61609	6310
1318	61653	6263
1319	61699	6216
1320	61747	6170
1321	61794	6123
1322	61839	6076
1323	61887	6029
1324	61931	5982
1325	61981	5936
1326	62028	5889
1327	62077	5843
1328	62115	5795
1329	62164	5749
1330	62208	5702
1331	62252	5655
1332	62302	5608
1333	62348	5561
1334	62393	5514
1335	62442	5468
1336	62486	5421
1337	62534	5374
1338	62577	5327
1339	62624	5280
1340	62670	5234
1341	62715	5187
1342	62761	5140
1343	62808	5093
1344	62855	5047
1345	62899	5000
1346	62944	4953
1347	62992	4906
1348	63038	4859
1349	63084	4813
1350	63129	4766
1351	63171	4719
1352	63220	4672
1353	63264	4625
1354	63313	4579
1355	63359	4532
1356	63401	4485
1357	63448	4438
1358	63493	4391
1359	63543	4345
1360	63586	4298
1361	63631	4251
1362	63679	4204
1363	63722	4157
1364	63766	4110
1365	63812	4064
1366	63859	4017
1367	63906	3970
1368	63950	3923
1369	63995	3877
1370	64041	3830
1371	64088	3783
1372	64139	3737
1373	64186	3690
1374	64233	3643
1375	64275	3596
1376	64320	3550
1377	64367	3503
1378	64411	3456
1379	64454	3409
1380	64496	3362
1381	64540	3315
1382	64587	3269
1383	64633	3222
1384	64675	3175
1385	64720	3128
1386	64766	3081
1387	64813	3035
1388	64857	2988
1389	64903	2941
1390	64951	2895
1391	65004	2848
1392	65047	2801
1393	65091	2754
1394	65138	2708
1395	65188	2661
1396	65233	2614
1397	65279	2568
1398	65323	2521
1399	65369	2474
1400	65414	2427
1401	65459	2381
1402	65505	2334
1403	65553	2287
1404	65594	2240
1405	65645	2194
1406	65694	2147
1407	65741	2101
1408	65788	2054
1409	65830	2007
1410	65876	1960
1411	65919	1914
